State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
CALIFORNIA,Metro,Santa Cruz,301,7,18,36,240,"2,232",812,"1,419",1,20
CALIFORNIA,Metro,Shasta,582,1,54,23,504,"1,058",568,466,24,10
CALIFORNIA,Metro,Sonoma,587,0,37,49,501,"1,388",547,821,20,9
CALIFORNIA,Metro,Stanislaus,414,11,33,106,264,"3,002","1,320","1,421",261,152
CALIFORNIA,Metro,Sutter,143,3,8,12,120,661,203,413,45,1
CALIFORNIA,Metro,Tulare,521,15,32,91,383,,"1,128","2,124",,30
CALIFORNIA,Metro,Ventura,192,1,18,31,142,"1,323",349,894,80,20
CALIFORNIA,Metro,Yolo,62,1,7,6,48,364,105,244,15,3
CALIFORNIA,Metro,Yuba,159,1,14,28,116,"1,031",390,634,7,14
CALIFORNIA,Non-Metro,Alpine,10,0,3,0,7,73,15,58,0,0
CALIFORNIA,Non-Metro,Amador,60,1,9,6,44,485,180,301,4,0
CALIFORNIA,Non-Metro,Calaveras,82,1,10,12,59,654,282,361,11,2
CALIFORNIA,Non-Metro,Colusa,22,0,3,5,14,257,81,167,9,5
CALIFORNIA,Non-Metro,Del Norte,82,3,19,12,48,377,218,157,2,5
CALIFORNIA,Non-Metro,Glenn,16,1,0,0,15,180,85,85,10,1
CALIFORNIA,Non-Metro,Humboldt,242,5,33,33,171,"1,208",450,732,26,15
CALIFORNIA,Non-Metro,Inyo,47,0,2,1,44,139,62,74,3,7
CALIFORNIA,Non-Metro,Lake,199,4,18,17,160,895,396,492,7,8
CALIFORNIA,Non-Metro,Lassen,36,0,2,1,33,129,47,78,4,4
CALIFORNIA,Non-Metro,Mariposa,37,0,5,2,30,294,124,170,0,1
CALIFORNIA,Non-Metro,Mendocino,310,3,24,19,264,551,260,286,5,12
CALIFORNIA,Non-Metro,Modoc,12,0,4,0,8,60,37,23,0,2
CALIFORNIA,Non-Metro,Mono,13,0,3,0,10,71,21,50,0,0
CALIFORNIA,Non-Metro,Nevada,137,1,17,4,115,578,250,324,4,3
CALIFORNIA,Non-Metro,Plumas,109,0,13,5,91,326,167,155,4,1
CALIFORNIA,Non-Metro,Sierra,19,0,0,0,19,44,10,34,0,0
CALIFORNIA,Non-Metro,Siskiyou,37,1,2,2,32,232,99,129,4,4
CALIFORNIA,Non-Metro,Tehama,181,1,3,11,166,278,165,112,1,2
CALIFORNIA,Non-Metro,Trinity,34,0,4,3,27,98,33,65,0,0
