State,Type,County,Violent crime,Property crime
GEORGIA,Metro,Forsyth,202,"1,801"
GEORGIA,Metro,Fulton,9,13
GEORGIA,Metro,Fulton,668,"5,544"
GEORGIA,Metro,Glynn,0,0
GEORGIA,Metro,Glynn,253,"3,033"
GEORGIA,Metro,Gwinnett,"1,675","16,909"
GEORGIA,Metro,Hall,187,"2,603"
GEORGIA,Metro,Haralson,111,397
GEORGIA,Metro,Harris,8,407
GEORGIA,Metro,Heard,18,172
GEORGIA,Metro,Henry,304,"4,174"
GEORGIA,Metro,Jasper,15,229
GEORGIA,Metro,Jones,35,533
GEORGIA,Metro,Lanier,8,99
GEORGIA,Metro,Lee,14,528
GEORGIA,Metro,Liberty,74,431
GEORGIA,Metro,Lowndes,37,941
GEORGIA,Metro,Madison,159,723
GEORGIA,Metro,McDuffie,23,248
GEORGIA,Metro,McIntosh,48,461
GEORGIA,Metro,Meriwether,24,430
GEORGIA,Metro,Murray,38,759
GEORGIA,Metro,Muscogee,0,0
GEORGIA,Metro,Newton,335,"1,775"
GEORGIA,Metro,Oconee,99,531
GEORGIA,Metro,Oglethorpe,50,520
GEORGIA,Metro,Paulding,152,"2,418"
GEORGIA,Metro,Pickens,27,409
GEORGIA,Metro,Pike,8,109
GEORGIA,Metro,Rockdale,325,"2,223"
GEORGIA,Metro,Spalding,127,"1,595"
GEORGIA,Metro,Terrell,21,105
GEORGIA,Metro,Twiggs,12,166
GEORGIA,Metro,Walker,208,"1,014"
GEORGIA,Metro,Walton,112,"1,007"
GEORGIA,Metro,Whitfield,180,"1,729"
GEORGIA,Metro,Worth,2,191
GEORGIA,Non-Metro,Baldwin,291,994
GEORGIA,Non-Metro,Banks,50,536
GEORGIA,Non-Metro,Ben Hill,15,223
GEORGIA,Non-Metro,Berrien,23,214
GEORGIA,Non-Metro,Bleckley,12,171
GEORGIA,Non-Metro,Bulloch,25,721
GEORGIA,Non-Metro,Calhoun,4,46
GEORGIA,Non-Metro,Camden,47,405
GEORGIA,Non-Metro,Candler,0,54
GEORGIA,Non-Metro,Charlton,9,105
GEORGIA,Non-Metro,Chattooga,24,213
GEORGIA,Non-Metro,Clinch,5,63
GEORGIA,Non-Metro,Coffee,46,703
GEORGIA,Non-Metro,Cook,21,180
GEORGIA,Non-Metro,Crisp,18,380
GEORGIA,Non-Metro,Decatur,28,263
GEORGIA,Non-Metro,Dodge,24,395
GEORGIA,Non-Metro,Dooly,16,72
GEORGIA,Non-Metro,Early,24,139
GEORGIA,Non-Metro,Elbert,43,690
GEORGIA,Non-Metro,Emanuel,7,397
GEORGIA,Non-Metro,Fannin,107,345
GEORGIA,Non-Metro,Franklin,8,381
GEORGIA,Non-Metro,Gilmer,36,344
GEORGIA,Non-Metro,Gordon,159,737
GEORGIA,Non-Metro,Grady,14,196
GEORGIA,Non-Metro,Greene,23,212
GEORGIA,Non-Metro,Habersham,49,499
GEORGIA,Non-Metro,Hancock,1,56
GEORGIA,Non-Metro,Hart,66,474
GEORGIA,Non-Metro,Irwin,6,167
GEORGIA,Non-Metro,Jackson,31,915
GEORGIA,Non-Metro,Jeff Davis,25,323
GEORGIA,Non-Metro,Jefferson,13,175
GEORGIA,Non-Metro,Johnson,37,82
GEORGIA,Non-Metro,Laurens,39,775
GEORGIA,Non-Metro,Lumpkin,80,454
GEORGIA,Non-Metro,Macon,0,64
GEORGIA,Non-Metro,Miller,1,44
GEORGIA,Non-Metro,Mitchell,46,208
GEORGIA,Non-Metro,Morgan,13,160
GEORGIA,Non-Metro,Peach,20,309
GEORGIA,Non-Metro,Pierce,0,
GEORGIA,Non-Metro,Polk,82,808
GEORGIA,Non-Metro,Putnam,52,423
GEORGIA,Non-Metro,Quitman,22,49
GEORGIA,Non-Metro,Rabun,11,148
GEORGIA,Non-Metro,Schley,2,13
GEORGIA,Non-Metro,Seminole,13,76
GEORGIA,Non-Metro,Stephens,20,597
GEORGIA,Non-Metro,Sumter,29,297
GEORGIA,Non-Metro,Talbot,11,57
GEORGIA,Non-Metro,Taliaferro,6,72
GEORGIA,Non-Metro,Tattnall,18,270
GEORGIA,Non-Metro,Taylor,2,71
GEORGIA,Non-Metro,Telfair,10,80
GEORGIA,Non-Metro,Thomas,39,570
GEORGIA,Non-Metro,Tift,137,817
GEORGIA,Non-Metro,Toombs,20,275
GEORGIA,Non-Metro,Towns,7,122
GEORGIA,Non-Metro,Treutlen,4,76
GEORGIA,Non-Metro,Troup,25,734
GEORGIA,Non-Metro,Turner,7,86
GEORGIA,Non-Metro,Union,11,127
GEORGIA,Non-Metro,Upson,18,433
GEORGIA,Non-Metro,Ware,36,672
GEORGIA,Non-Metro,Washington,28,227
GEORGIA,Non-Metro,Wheeler,1,83
GEORGIA,Non-Metro,White,18,325
GEORGIA,Non-Metro,Wilcox,4,66
GEORGIA,Non-Metro,Wilkes,4,17
GEORGIA,Non-Metro,Wilkinson,14,102
HAWAII,Non-Metro,Hawaii,514,"5,255"
HAWAII,Non-Metro,Kauai,246,"2,476"
IDAHO,Metro,Ada,119,968
IDAHO,Metro,Bonneville,88,801
IDAHO,Metro,Canyon,61,598
IDAHO,Metro,Franklin,9,29
IDAHO,Metro,Gem,13,40
IDAHO,Metro,Jefferson,13,84
IDAHO,Metro,Kootenai,97,"1,122"
IDAHO,Metro,Nez Perce,10,119
IDAHO,Metro,Owyhee,13,132
IDAHO,Metro,Power,2,45
IDAHO,Non-Metro,Adams,8,52
IDAHO,Non-Metro,Bear Lake,1,39
IDAHO,Non-Metro,Benewah,4,32
IDAHO,Non-Metro,Bingham,32,271
IDAHO,Non-Metro,Blaine,4,23
IDAHO,Non-Metro,Bonner,37,434
IDAHO,Non-Metro,Boundary,7,85
IDAHO,Non-Metro,Butte,7,2
IDAHO,Non-Metro,Camas,0,10
IDAHO,Non-Metro,Caribou,2,13
IDAHO,Non-Metro,Clearwater,16,97
IDAHO,Non-Metro,Elmore,18,48
IDAHO,Non-Metro,Fremont,4,66
IDAHO,Non-Metro,Gooding,11,46
IDAHO,Non-Metro,Idaho,8,91
IDAHO,Non-Metro,Jerome,3,70
IDAHO,Non-Metro,Latah,23,157
IDAHO,Non-Metro,Lemhi,5,37
IDAHO,Non-Metro,Lewis,5,36
IDAHO,Non-Metro,Lincoln,5,13
IDAHO,Non-Metro,Madison,9,74
IDAHO,Non-Metro,Minidoka,3,145
IDAHO,Non-Metro,Oneida,4,25
IDAHO,Non-Metro,Payette,23,102
IDAHO,Non-Metro,Shoshone,34,160
IDAHO,Non-Metro,Teton,1,78
IDAHO,Non-Metro,Twin Falls,35,205
IDAHO,Non-Metro,Valley,16,73
IDAHO,Non-Metro,Washington,2,16
ILLINOIS,Metro,Bond,6,142
ILLINOIS,Metro,Boone,21,295
ILLINOIS,Metro,Champaign,148,531
ILLINOIS,Metro,Clinton,9,162
ILLINOIS,Metro,De Kalb,33,268
ILLINOIS,Metro,Du Page,79,"1,334"
ILLINOIS,Metro,Grundy,2,210
ILLINOIS,Metro,Henry,0,79
ILLINOIS,Metro,Jersey,28,137
ILLINOIS,Metro,Kendall,63,399
ILLINOIS,Metro,Lake,83,"1,714"
ILLINOIS,Metro,Macon,66,432
ILLINOIS,Metro,Macoupin,10,245
ILLINOIS,Metro,Madison,90,"1,108"
ILLINOIS,Metro,Marshall,0,45
ILLINOIS,Metro,McLean,42,206
ILLINOIS,Metro,Mercer,26,152
ILLINOIS,Metro,Peoria,180,743
ILLINOIS,Metro,Piatt,22,121
ILLINOIS,Metro,Rock Island,51,313
ILLINOIS,Metro,Sangamon,170,944
ILLINOIS,Metro,Stark,11,72
ILLINOIS,Metro,St. Clair,85,"1,050"
ILLINOIS,Metro,Tazewell,1,243
ILLINOIS,Metro,Vermilion,69,487
ILLINOIS,Metro,Winnebago,120,"1,200"
ILLINOIS,Metro,Woodford,4,141
ILLINOIS,Non-Metro,Adams,22,223
ILLINOIS,Non-Metro,Bureau,15,221
ILLINOIS,Non-Metro,Cass,2,64
ILLINOIS,Non-Metro,Christian,72,148
ILLINOIS,Non-Metro,Clark,3,72
ILLINOIS,Non-Metro,Clay,4,64
ILLINOIS,Non-Metro,Coles,5,105
ILLINOIS,Non-Metro,Crawford,1,59
ILLINOIS,Non-Metro,Douglas,13,28
ILLINOIS,Non-Metro,Edgar,26,65
ILLINOIS,Non-Metro,Effingham,9,166
ILLINOIS,Non-Metro,Franklin,12,283
ILLINOIS,Non-Metro,Fulton,8,133
ILLINOIS,Non-Metro,Gallatin,3,66
ILLINOIS,Non-Metro,Iroquois,5,150
ILLINOIS,Non-Metro,Jackson,47,336
ILLINOIS,Non-Metro,Jefferson,52,339
ILLINOIS,Non-Metro,Johnson,23,105
ILLINOIS,Non-Metro,La Salle,32,400
ILLINOIS,Non-Metro,Lawrence,15,24
ILLINOIS,Non-Metro,Livingston,15,278
ILLINOIS,Non-Metro,Marion,18,277
ILLINOIS,Non-Metro,Mason,20,132
ILLINOIS,Non-Metro,Massac,9,146
ILLINOIS,Non-Metro,McDonough,6,91
ILLINOIS,Non-Metro,Montgomery,108,153
ILLINOIS,Non-Metro,Morgan,10,112
ILLINOIS,Non-Metro,Moultrie,8,54
ILLINOIS,Non-Metro,Ogle,13,308
ILLINOIS,Non-Metro,Perry,22,88
ILLINOIS,Non-Metro,Pike,1,7
ILLINOIS,Non-Metro,Pope,13,45
ILLINOIS,Non-Metro,Pulaski,79,104
ILLINOIS,Non-Metro,Putnam,4,48
ILLINOIS,Non-Metro,Richland,6,91
ILLINOIS,Non-Metro,Schuyler,5,10
ILLINOIS,Non-Metro,Shelby,12,66
ILLINOIS,Non-Metro,Stephenson,6,208
ILLINOIS,Non-Metro,Union,15,107
ILLINOIS,Non-Metro,Warren,11,89
ILLINOIS,Non-Metro,Washington,37,66
ILLINOIS,Non-Metro,White,6,168
ILLINOIS,Non-Metro,Whiteside,22,233
ILLINOIS,Non-Metro,Williamson,9,359
INDIANA,Metro,Allen,65,872
INDIANA,Metro,Bartholomew,30,497
INDIANA,Metro,Boone,1,170
INDIANA,Metro,Brown,2,97
INDIANA,Metro,Carroll,12,174
INDIANA,Metro,Clark,70,745
INDIANA,Metro,Delaware,19,490
INDIANA,Metro,Elkhart,42,"1,646"
INDIANA,Metro,Floyd,0,651
INDIANA,Metro,Franklin,1,126
INDIANA,Metro,Gibson,5,139
INDIANA,Metro,Greene,6,159
INDIANA,Metro,Hancock,11,286
INDIANA,Metro,Harrison,11,422
INDIANA,Metro,Howard,37,453
INDIANA,Metro,Lake,32,"1,023"
INDIANA,Metro,La Porte,28,816
INDIANA,Metro,Madison,30,478
INDIANA,Metro,Monroe,60,"1,025"
INDIANA,Metro,Newton,14,206
INDIANA,Metro,Porter,42,771
INDIANA,Metro,Putnam,9,245
INDIANA,Metro,Shelby,28,279
INDIANA,Metro,St. Joseph,116,"2,107"
INDIANA,Metro,Sullivan,13,187
INDIANA,Metro,Tippecanoe,31,909
INDIANA,Metro,Tipton,9,71
INDIANA,Metro,Vanderburgh,,790
INDIANA,Metro,Warrick,92,600
INDIANA,Metro,Wells,2,150
INDIANA,Non-Metro,Blackford,4,57
INDIANA,Non-Metro,Cass,10,216
INDIANA,Non-Metro,Clinton,11,360
INDIANA,Non-Metro,Daviess,7,103
