RegionID,RegionName,State,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10
2832,Riverside,CA,11,5.564372785,5.231962886,5.113221329,5.357142857143,5.280627691,5.265929437,5.066497783,4.848484848,5,4.761904762,4.871885429,4.774863182,4.489953426,4.509370441,4.80952381,4.594921403,4.572864322,4.651162791,4.47894894,4.418271733,4.566210046,4.766824387,4.361744698,4.381640459,4.347826087,4.40754717,4.126213592,4.301075269,4.357298475,4.003202562,4.068825911,3.717472119,3.703703704,3.670711528,3.572066554,3.333333333,3.189066059,3.225806452,3.306451613,3.368421053,3.540497896,3.225806452,3.206825537,3.031221582,2.943773918,2.906976744,2.857619129,2.76816609,2.860548272,3.010408282,3.010033445,3.333703786,3.226129032,3.148005148,3.125976868,3.076923077,2.806027409,2.750491159,2.754525167,2.570694087,2.702702703,2.825710537
3250,San Bernardino,CA,12,6.062443722,5.817839316,6.064281383,6.253256972561,6.080314294,6.063302164,5.844155844,5.558643691,5.566382951,5.349004817,5.265929437,5.197775162,5.0457269,5.123424598,5.005005005,5.289473684,5.128205128,4.983606557,5.135135135,5.555555556,5.173751871,5.318295961,5.012531328,5.12952039,5.128205128,5.000625078,5.021860698,5.130836326,5.172413793,5.189873418,5.18134715,5.405405405,5.034457929,5.010976607,4.50545109,4.077119723,4.210544977,4.045788374,4.057239057,4.281901958,3.870967742,3.642052566,3.529827038,3.521143881,3.615328995,3.50877193,3.26073389,3.333172222,3.333555556,3.237170596,3.333333333,3.698831269,3.378378378,3.334444815,3.263403263,3.333333333,3.449465333,3.50877193,3.184896143,3.047619048,2.963347268,3.076923077
445,Clark,NV,13,5.945945946,5.741626794,5.771495878,6.169116034218,5.942995755,6.00120048,6.25,5.714285714,5.714285714,5.267316302,5.263157895,5.004003203,5.263157895,5.031446541,5.01136084,5.288680103,5.189873418,5.000025,4.987241956,5.00736377,5.005711745,4.67687413,4.547521601,4.762453601,4.175817661,4.385964912,4.442299442,4.819277108,4.651162791,5.082987552,4.761904762,4.701598242,4.522251756,3.846227812,3.773584906,3.846901172,3.666506111,4,4.030016676,4.265440357,4.258359531,4.096385542,3.637686431,3.428571429,3.50877193,3.225806452,3.301433811,3.182743183,3.076923077,3.129890454,3.00120048,3.333333333,3.241167435,2.964400585,3.107692308,3.090909091,2.985074627,2.924318634,2.898550725,2.877697842,2.745792737,2.702757488
207,King,WA,14,5.012531328,4.800048,5,5.287153467167,5.002501251,5,4.968322774,4.765308824,4.682274247,4.761904762,4.646153846,4.545454545,4.550087362,4.650774732,4.915156744,4.952380952,4.834813776,4.662004662,4.492753623,4.545454545,4.123287671,4.137931034,4.069767442,3.919675195,4.162219851,4.188824403,4.255319149,4.776785714,4.593406593,4.351453951,4.255319149,4.44543537,4.08,4,3.907776475,3.872216844,3.875968992,3.773584906,3.923832813,4.168403501,4.143140871,4,3.422993805,3.241935484,3.390405153,3.433777559,3.39684958,3.246753247,3.336391692,3.352852349,3.493083079,3.69916055,3.509387612,3.705289001,3.460207612,3.435094496,3.333337963,3.448573153,3.387222947,3.268845897,3.440744843,3.448275862
791,Wayne,MI,15,9.452899114,9.486849543,9.523809524,10.020040080160,10,10.02004008,10.07194245,10.01001001,9.997579279,9.107468124,10,9.677419355,9.523809524,10,10,10.02004008,10.21440037,9.819639279,9.433962264,9.195402299,9.834694431,9.997852555,9.174311927,10,9.388185654,8.781428213,9.861712386,10.041841,10.27539468,10,10,10,9.648241206,8.347245409,8.003201281,7.894736842,7.894736842,8.235294118,8.063130462,9.615558556,9.107468124,8.795081561,7.751937984,6.842923795,5.935015113,5.464480874,5.460750853,5.18134715,5.077753606,5.304465494,6.002701231,6.646586345,6.279450326,6.542612064,5.797101449,5.274267472,5,5.264266161,5.139372822,5.002419346,5.265929437,5.444126074
2049,Tarrant,TX,16,3.849114704,3.875968992,3.664959473,3.582748304156,3.634544848,3.590675846,3.703703704,3.381642512,3.351955307,3.244120032,3.314909714,3.389830508,3.409478394,3.36602361,3.5,3.846153846,3.706449222,3.366666667,3.284671533,3.180842789,3.126954346,2.941176471,2.999927612,3.125,2.955018096,3.126465607,3.333333333,3.22684737,3.125,3.06441526,2.857142857,2.778055556,2.764272816,2.75862069,2.72568142,2.777777778,2.67618411,2.860207731,2.935023382,3.227888961,2.879769618,2.858572275,2.851335656,2.727272727,2.727272727,2.736842105,2.749173778,2.779321845,2.801886792,2.843601896,2.866808096,3.031221582,2.923663417,2.958579882,2.864764556,2.858980788,2.753760429,2.827763496,2.857142857,2.838197706,2.858776444,3.004552605
3136,Santa Clara,CA,17,4.457921055,4.271216889,4.618117229,4.547522541153,4.602638846,4.214141091,4.291845494,4.103824564,4.04040404,3.9408867,3.849114704,4.041051956,3.963839411,3.846153846,4.108648976,3.82149269,4.323458767,4.086738949,4.004,3.562040067,4.441176471,4.148751051,4.371584699,4.169476519,4.246575342,4.519794018,4.973372757,4.860390324,4.044817123,3.840072971,4.000080002,3.883549086,4.510197296,4.088070022,4.122509924,3.810623557,3.674063296,3.815261044,3.163265306,3.574384857,3.297101449,4.311377246,4.293397838,4.266666667,3.612117698,3.662181078,3.38160952,3.315430011,3.567447046,3.571360969,3.340862295,3.229278794,4.038461538,3.618817853,3.67003367,4.279069767,4.545454545,4.137931034,4.439115805,3.838801061,3.922568698,3.70772744
1561,Broward,FL,18,7.142857143,6.542056075,6.420251793,6.359300476948,6.451612903,6.371018114,6.358905231,6.071428571,6,6.016923186,5.931706571,5.956112853,6,5.791495959,5.738784002,5.987460815,5.558643691,5.558128811,5.604719764,5.406866721,5.263157895,5.282331512,4.925648739,4.838709677,4.999852324,4.769475358,4.784688995,4.809619238,4.850447794,4.545454545,4.688232651,4.519339942,4.655913978,4.198717949,4.385964912,4.383561644,4.466052469,4.13169787,4.366812227,4.69793575,4.434782609,4.436574221,4.08,4.098360656,3.923076923,3.713322978,3.77505492,3.808073115,3.703703704,3.847386999,3.928571429,4.347826087,4.032258065,3.898979067,3.703703704,3.957783641,3.847633705,3.846153846,3.703737998,3.638285749,3.96039604,3.573981415
386,Bexar,TX,19,3.913384267,3.881796997,3.77756395,4.003202562050,3.705075954,3.674939457,3.607843137,3.316326531,3.243243243,3.231017771,3.449465333,3.290010612,3.259115844,3.462414579,3.334444815,3.706449222,3.486120077,3.216432129,3.151862464,3.171953255,3.030606061,3.125,3.003003003,3.031221582,3.030312213,3.101276127,3.373356204,3.423463938,3.333333333,2.911541627,2.783814142,2.865329513,2.784332232,2.642501033,2.733333333,2.685863969,2.695035461,2.779321845,2.768759019,3.024757562,2.942050682,2.777777778,2.723735409,2.646239554,2.564760195,2.502732212,2.666666667,2.57796797,2.70343336,2.564102564,2.702026689,2.884049441,2.638191613,2.45398773,2.648492124,2.549533262,2.638522427,2.433797909,2.5,2.650621958,2.631578947,2.5
2452,New York,NY,20,4.8,4.622507123,4.266666667,5.000000000000,4.383561644,4.357298475,4.357298475,4.449393714,4.519774011,4.450381808,4.810824657,4.793888118,4.522613065,4.778239021,4.371584699,5,4.88997555,4.630272953,4.494382022,4.458598726,4.271233595,4.444444444,4.16,4.180836167,4.662004662,4.530040144,4.4,4.857142857,4.545454545,4.347826087,4.587155963,4.761904762,4.978275547,4.860617208,4.369747899,4.088863169,4.363636364,4.461028192,4.503860219,4.52173913,4.352562281,4.545454545,4.482758621,4.200456621,4.545454545,4.137931034,4.035395427,3.648182665,4.285714286,4.565217391,4.201597915,4.347826087,4.814004376,4.177574171,4.166666667,4.166666667,4.355717452,4.166666667,4.166666667,3.623925055,4.434782609,4.256
