County,State,Value
Lamar County,Alabama,-8.40
Barber County,Kansas,-8.40
Childress County,Texas,-8.40
Hale County,Alabama,-8.30
Arkansas County,Arkansas,-8.30
Oscoda County,Michigan,-8.30
Lincoln County,Minnesota,-8.30
Renville County,Minnesota,-8.30
St. Louis city,Missouri,-8.30
Valley County,Nebraska,-8.30
Hand County,South Dakota,-8.30
Monroe County,Florida,-8.20
Huron County,Michigan,-8.20
Holt County,Missouri,-8.20
Cuyahoga County,Ohio,-8.20
Jefferson County,Arkansas,-8.10
Hodgeman County,Kansas,-8.10
Mitchell County,Kansas,-8.10
Dickey County,North Dakota,-8.10
Fayette County,Pennsylvania,-8.10
Noxubee County,Mississippi,-8.00
Warren County,Georgia,-7.90
Chase County,Kansas,-7.90
Arenac County,Michigan,-7.90
Norman County,Minnesota,-7.90
Wilkin County,Minnesota,-7.90
Cedar County,Nebraska,-7.90
Keokuk County,Iowa,-7.80
Monona County,Iowa,-7.80
Wilbarger County,Texas,-7.80
Carroll County,Illinois,-7.70
Wabash County,Illinois,-7.70
Osceola County,Iowa,-7.70
Wright County,Iowa,-7.70
Harper County,Kansas,-7.70
Marshall County,Kansas,-7.70
Wheeler County,Nebraska,-7.70
Dawson County,Texas,-7.70
Pecos County,Texas,-7.70
Shelby County,Iowa,-7.60
Phillips County,Montana,-7.60
Alfalfa County,Oklahoma,-7.60
Kiowa County,Oklahoma,-7.60
Morton County,Kansas,-7.50
Deuel County,Nebraska,-7.50
Nance County,Nebraska,-7.50
Pierce County,Nebraska,-7.50
Williamsburg County,South Carolina,-7.50
Cherokee County,Iowa,-7.40
Stafford County,Kansas,-7.40
Knott County,Kentucky,-7.40
Blaine County,Montana,-7.40
Ransom County,North Dakota,-7.40
Edwards County,Texas,-7.40
Monroe County,West Virginia,-7.40
Wyoming County,West Virginia,-7.40
Clarke County,Alabama,-7.30
Otero County,Colorado,-7.30
Shoshone County,Idaho,-7.30
Winnebago County,Iowa,-7.30
Clark County,Kansas,-7.30
Koochiching County,Minnesota,-7.30
Morrill County,Nebraska,-7.30
Mahoning County,Ohio,-7.30
Elmore County,Idaho,-7.20
Palo Alto County,Iowa,-7.20
Cloud County,Kansas,-7.20
Presque Isle County,Michigan,-7.20
Chariton County,Missouri,-7.20
Linn County,Missouri,-7.20
Custer County,Nebraska,-7.20
Knox County,Nebraska,-7.20
Perkins County,Nebraska,-7.20
Harding County,South Dakota,-7.20
Hutchinson County,Texas,-7.20
Forest County,Wisconsin,-7.20
Menominee County,Wisconsin,-7.20
Fremont County,Iowa,-7.10
Stanton County,Kansas,-7.10
Marshall County,Minnesota,-7.10
Cherry County,Nebraska,-7.10
Clay County,Nebraska,-7.10
Allendale County,South Carolina,-7.10
Sumter County,Alabama,-7.00
Allen County,Kansas,-7.00
Sumner County,Kansas,-7.00
Floyd County,Kentucky,-7.00
Sullivan County,Missouri,-7.00
Box Butte County,Nebraska,-7.00
Jackson County,Oklahoma,-7.00
Brown County,Kansas,-6.90
Rush County,Kansas,-6.90
Mackinac County,Michigan,-6.90
Furnas County,Nebraska,-6.90
Wheeler County,Oregon,-6.90
Bullock County,Alabama,-6.80
Fayette County,Alabama,-6.80
Seminole County,Georgia,-6.80
Saline County,Illinois,-6.80
Adair County,Iowa,-6.80
Hardin County,Iowa,-6.80
Hickman County,Kentucky,-6.80
Clarke County,Mississippi,-6.80
Pierce County,North Dakota,-6.80
Crawford County,Ohio,-6.80
Marion County,South Carolina,-6.80
Edmunds County,South Dakota,-6.80
Marshall County,West Virginia,-6.80
Marengo County,Alabama,-6.70
Monroe County,Kentucky,-6.70
Bear Lake County,Idaho,-6.60
Emmet County,Iowa,-6.60
Alcona County,Michigan,-6.60
Kimball County,Nebraska,-6.60
Trumbull County,Ohio,-6.60
Chambers County,Alabama,-6.50
Calhoun County,Arkansas,-6.50
Louisa County,Iowa,-6.50
Greeley County,Nebraska,-6.50
Hitchcock County,Nebraska,-6.50
Henry County,Virginia,-6.50
Lake County,Colorado,-6.40
Hancock County,Georgia,-6.40
Wilkinson County,Georgia,-6.40
York County,Nebraska,-6.40
Cotton County,Oklahoma,-6.40
Hancock County,Iowa,-6.30
Rice County,Kansas,-6.30
Keweenaw County,Michigan,-6.30
Shelby County,Missouri,-6.30
Grant County,South Dakota,-6.30
Live Oak County,Texas,-6.30
Swisher County,Texas,-6.30
Bath County,Virginia,-6.30
Ohio County,West Virginia,-6.30
Wetzel County,West Virginia,-6.30
Ringgold County,Iowa,-6.20
Lyon County,Kansas,-6.20
Powder River County,Montana,-6.20
Grant County,Oregon,-6.20
Conecuh County,Alabama,-6.10
Appanoose County,Iowa,-6.10
Page County,Iowa,-6.10
Clay County,Mississippi,-6.10
Webster County,Nebraska,-6.10
Oldham County,Texas,-6.10
Hampton city,Virginia,-6.10
Hancock County,West Virginia,-6.10
Pendleton County,West Virginia,-6.10
Turner County,Georgia,-6.00
