County,State,Value
Presque Isle County,Michigan,-1035.00
Clinton County,Iowa,-1033.00
Poinsett County,Arkansas,-1031.00
Montgomery County,Iowa,-1031.00
Greene County,Iowa,-1030.00
Wood County,West Virginia,-1030.00
Warren County,Illinois,-1028.00
Monroe County,Mississippi,-1025.00
Roscommon County,Michigan,-1020.00
Brown County,Minnesota,-1018.00
Hancock County,Illinois,-1017.00
Allen County,Kansas,-1014.00
Crosby County,Texas,-1013.00
Haywood County,Tennessee,-1010.00
Shoshone County,Idaho,-1006.00
Shelby County,Iowa,-1006.00
Noxubee County,Mississippi,-1003.00
Cherokee County,Kansas,-1002.00
Jackson County,Minnesota,-1002.00
Henry County,Ohio,-995.00
Runnels County,Texas,-994.00
Linn County,Missouri,-993.00
Wabash County,Illinois,-990.00
Carroll County,Missouri,-990.00
Brunswick County,Virginia,-985.00
Greenwood County,Kansas,-984.00
Allegany County,New York,-981.00
Hempstead County,Arkansas,-978.00
Logan County,West Virginia,-967.00
Yukon-Koyukuk Census Area,Alaska,-963.00
Cherokee County,Iowa,-963.00
Martin County,Minnesota,-962.00
Winston County,Mississippi,-962.00
Nevada County,Arkansas,-958.00
Pike County,Illinois,-954.00
Carroll County,Tennessee,-953.00
Huntington County,Indiana,-951.00
Iron County,Wisconsin,-945.00
Rio Arriba County,New Mexico,-944.00
Clay County,West Virginia,-944.00
Gogebic County,Michigan,-943.00
Fulton County,Kentucky,-939.00
Burt County,Nebraska,-933.00
York County,Nebraska,-933.00
Kent County,Rhode Island,-932.00
Greene County,Alabama,-929.00
Chester County,South Carolina,-928.00
Chenango County,New York,-924.00
Wilson County,Kansas,-923.00
Union County,South Carolina,-920.00
Patrick County,Virginia,-917.00
Van Wert County,Ohio,-915.00
Lafayette County,Arkansas,-914.00
Boone County,West Virginia,-906.00
Lee County,South Carolina,-899.00
Lincoln County,Wisconsin,-898.00
Wells County,North Dakota,-895.00
Keokuk County,Iowa,-889.00
Cameron County,Pennsylvania,-889.00
Henderson County,Illinois,-882.00
Schuyler County,New York,-881.00
