County,State,Value
Hertford County,North Carolina,87.80
Jones County,North Carolina,86.10
Martin County,North Carolina,88.20
Nash County,North Carolina,89.30
Pender County,North Carolina,76.10
Randolph County,North Carolina,90.70
Scotland County,North Carolina,89.60
Vance County,North Carolina,86.60
Wake County,North Carolina,93.00
Barnes County,North Dakota,84.60
Billings County,North Dakota,74.00
Cavalier County,North Dakota,78.70
Foster County,North Dakota,83.00
Grand Forks County,North Dakota,93.40
LaMoure County,North Dakota,81.50
Mountrail County,North Dakota,67.80
Ransom County,North Dakota,87.00
Rolette County,North Dakota,89.00
Steele County,North Dakota,73.80
Towner County,North Dakota,72.30
Allen County,Ohio,90.30
Brown County,Ohio,88.20
Clinton County,Ohio,89.40
Defiance County,Ohio,91.30
Fayette County,Ohio,90.10
Geauga County,Ohio,93.70
Guernsey County,Ohio,84.50
Hancock County,Ohio,91.00
Knox County,Ohio,90.00
Logan County,Ohio,78.10
Madison County,Ohio,92.40
Miami County,Ohio,92.50
Muskingum County,Ohio,90.00
Pike County,Ohio,88.20
Putnam County,Ohio,93.70
Seneca County,Ohio,90.30
Tuscarawas County,Ohio,91.90
Wayne County,Ohio,93.00
Wood County,Ohio,91.90
Beckham County,Oklahoma,84.60
Carter County,Oklahoma,88.10
Coal County,Oklahoma,83.60
Custer County,Oklahoma,87.70
Garfield County,Oklahoma,90.10
Greer County,Oklahoma,79.70
Eddy County,New Mexico,90.40
Guadalupe County,New Mexico,73.80
Lincoln County,New Mexico,52.60
Socorro County,New Mexico,87.00
Allegany County,New York,69.70
Chenango County,New York,82.70
Genesee County,New York,92.70
Herkimer County,New York,78.90
Lewis County,New York,69.60
Oneida County,New York,89.30
Otsego County,New York,80.00
Saratoga County,New York,89.50
Steuben County,New York,82.50
Warren County,New York,72.30
Yates County,New York,70.50
Blair County,Pennsylvania,92.70
Bradford County,Pennsylvania,84.50
Cambria County,Pennsylvania,89.80
Clarion County,Pennsylvania,80.80
Elk County,Pennsylvania,77.90
Indiana County,Pennsylvania,91.50
Lackawanna County,Pennsylvania,90.10
Mifflin County,Pennsylvania,87.00
Montour County,Pennsylvania,92.80
Potter County,Pennsylvania,55.90
Sullivan County,Pennsylvania,44.10
Warren County,Pennsylvania,75.40
Allendale County,South Carolina,82.60
