County,State,Value
Audrain County,Missouri,89.8
Bollinger County,Missouri,97.9
Camden County,Missouri,96.5
Carter County,Missouri,96.6
Christian County,Missouri,95.7
Crawford County,Missouri,97.3
Dent County,Missouri,96.6
Howard County,Missouri,91.8
Alamance County,North Carolina,71.1
Alleghany County,North Carolina,92.2
Bladen County,North Carolina,56.3
Buncombe County,North Carolina,87.4
Caldwell County,North Carolina,90.2
Clay County,North Carolina,96.6
Dare County,North Carolina,92.3
Davidson County,North Carolina,84.3
Forsyth County,North Carolina,62.3
Guilford County,North Carolina,57
Hertford County,North Carolina,35.6
Jones County,North Carolina,63
Martin County,North Carolina,53.1
Nash County,North Carolina,55.9
Pender County,North Carolina,76.1
Randolph County,North Carolina,85.5
Scotland County,North Carolina,46.5
Vance County,North Carolina,44.2
Wake County,North Carolina,66.3
Barnes County,North Dakota,96.4
Billings County,North Dakota,98.6
Cavalier County,North Dakota,97.7
Foster County,North Dakota,98.4
Grand Forks County,North Dakota,90.3
LaMoure County,North Dakota,98.5
Mountrail County,North Dakota,65.6
Ransom County,North Dakota,97.8
Rolette County,North Dakota,20.3
Steele County,North Dakota,97.6
Towner County,North Dakota,96.7
Allen County,Ohio,83.8
Brown County,Ohio,97.5
Clinton County,Ohio,94.7
Defiance County,Ohio,92.8
Fayette County,Ohio,94.6
Geauga County,Ohio,96.9
Guernsey County,Ohio,96
Hancock County,Ohio,93.4
Knox County,Ohio,96.7
Logan County,Ohio,95.3
Madison County,Ohio,90.6
Miami County,Ohio,94.4
Muskingum County,Ohio,93
Pike County,Ohio,96.6
Putnam County,Ohio,95.7
Seneca County,Ohio,93.7
Tuscarawas County,Ohio,96.6
Wayne County,Ohio,95.7
Wood County,Ohio,92.8
Beckham County,Oklahoma,85
Carter County,Oklahoma,74.4
Coal County,Oklahoma,74.3
Custer County,Oklahoma,78.1
Garfield County,Oklahoma,83.9
Greer County,Oklahoma,83
Eddy County,New Mexico,77.4
Guadalupe County,New Mexico,70.4
Lincoln County,New Mexico,85.1
Socorro County,New Mexico,75.1
Allegany County,New York,96.2
Chenango County,New York,96.9
Genesee County,New York,92.9
Herkimer County,New York,96.6
Lewis County,New York,97.7
Oneida County,New York,87.1
Otsego County,New York,94.7
Saratoga County,New York,94.3
Steuben County,New York,95.3
Warren County,New York,96.5
Yates County,New York,97.2
Blair County,Pennsylvania,96.2
Bradford County,Pennsylvania,97.5
Cambria County,Pennsylvania,94.1
Clarion County,Pennsylvania,97.2
Elk County,Pennsylvania,98.5
Indiana County,Pennsylvania,94.9
Lackawanna County,Pennsylvania,92
Mifflin County,Pennsylvania,97.5
Montour County,Pennsylvania,95.3
Potter County,Pennsylvania,98.1
Sullivan County,Pennsylvania,95.9
Warren County,Pennsylvania,98.1
Allendale County,South Carolina,23.7
Bamberg County,South Carolina,36.1
Clarendon County,South Carolina,47
Fairfield County,South Carolina,38.6
Greenwood County,South Carolina,62.9
Horry County,South Carolina,79.9
Laurens County,South Carolina,70.4
Newberry County,South Carolina,62.1
Spartanburg County,South Carolina,72.3
Beadle County,South Dakota,89.7
Brule County,South Dakota,88.4
Codington County,South Dakota,95.3
Davison County,South Dakota,94.4
Dewey County,South Dakota,21
Faulk County,South Dakota,98.9
Hand County,South Dakota,98.4
Jackson County,South Dakota,42.7
Kingsbury County,South Dakota,98.1
McCook County,South Dakota,98
Miner County,South Dakota,97.8
Potter County,South Dakota,97.6
Spink County,South Dakota,97.1
Turner County,South Dakota,97.5
Walworth County,South Dakota,82.6
Benton County,Tennessee,95.4
Blount County,Tennessee,93.5
Cannon County,Tennessee,96.6
Clay County,Tennessee,96.5
Decatur County,Tennessee,94.7
Franklin County,Tennessee,90.8
Hamblen County,Tennessee,86.6
Hawkins County,Tennessee,96.5
Humphreys County,Tennessee,95.1
Knox County,Tennessee,85.6
Loudon County,Tennessee,93.4
Marshall County,Tennessee,88.5
Morgan County,Tennessee,94.4
Polk County,Tennessee,97.5
Scott County,Tennessee,98.3
Sumner County,Tennessee,88.9
Union County,Tennessee,97.7
Harper County,Oklahoma,87.4
Hughes County,Oklahoma,68.1
Kingfisher County,Oklahoma,84.5
Lincoln County,Oklahoma,85.9
McClain County,Oklahoma,84.5
Mayes County,Oklahoma,68
Oklahoma County,Oklahoma,64.6
Pontotoc County,Oklahoma,71.2
Pushmataha County,Oklahoma,75
Washington County,Oklahoma,78.3
Woodward County,Oklahoma,86.7
Deschutes County,Oregon,92.2
Jefferson County,Oregon,69
Lake County,Oregon,90.3
Polk County,Oregon,85.9
Wheeler County,Oregon,92.4
Armstrong County,Pennsylvania,98
Gonzales County,Texas,71.5
Gray County,Texas,81.5
Grimes County,Texas,73
Hall County,Texas,76.9
Hansford County,Texas,81.8
Hill County,Texas,83.5
Howard County,Texas,74.1
Hutchinson County,Texas,85.5
Jim Hogg County,Texas,87.9
Johnson County,Texas,87.2
Kent County,Texas,93.2
Kerr County,Texas,87.7
Knox County,Texas,76.4
La Salle County,Texas,89.7
Live Oak County,Texas,87.7
Lubbock County,Texas,77.3
McLennan County,Texas,69.8
Mason County,Texas,93
Midland County,Texas,76.9
Montgomery County,Texas,83.5
Navarro County,Texas,69.4
Nolan County,Texas,83.6
Ochiltree County,Texas,85.6
Oldham County,Texas,90.2
Parker County,Texas,91.4
Rains County,Texas,91.2
Randall County,Texas,88.9
Roberts County,Texas,93.8
Rockwall County,Texas,83.6
Runnels County,Texas,83.2
San Saba County,Texas,84.3
Somervell County,Texas,85
Stephens County,Texas,84.7
Stonewall County,Texas,87.7
Terry County,Texas,81.3
Titus County,Texas,67.6
Upshur County,Texas,85.1
Uvalde County,Texas,78.1
Ward County,Texas,77.2
Williamson County,Texas,78.1
Wise County,Texas,88.7
Zavala County,Texas,88.2
Davis County,Utah,90
White County,Tennessee,95.7
Wilson County,Tennessee,88.9
Archer County,Texas,93.9
Armstrong County,Texas,93.3
Bastrop County,Texas,73.8
Blanco County,Texas,90.3
Brooks County,Texas,89.6
Burnet County,Texas,88.5
Camp County,Texas,67.8
Castro County,Texas,68.6
Cochran County,Texas,73.2
Concho County,Texas,86.9
Coryell County,Texas,70.3
Crane County,Texas,74.1
Dawson County,Texas,76.7
DeWitt County,Texas,75.7
Dimmit County,Texas,88.6
Edwards County,Texas,86.9
Fayette County,Texas,83.5
Franklin County,Texas,86.5
Garza County,Texas,82.8
Montgomery County,Virginia,87.6
Nelson County,Virginia,83.3
Patrick County,Virginia,91.1
Powhatan County,Virginia,83.8
Pulaski County,Virginia,92.5
Russell County,Virginia,97.8
Warren County,Virginia,90.9
Wythe County,Virginia,95.1
Alexandria city,Virginia,60.9
Bedford city,Virginia,76.4
Buena Vista city,Virginia,91
Charlottesville city,Virginia,69.1
Harrisonburg city,Virginia,78.4
Hopewell city,Virginia,55.4
Martinsville city,Virginia,49.9
Richmond city,Virginia,40.8
Salem city,Virginia,88.2
Waynesboro city,Virginia,82.2
Cowlitz County,Washington,88.9
Franklin County,Washington,60.5
Lewis County,Washington,89.7
Mason County,Washington,86.1
Spokane County,Washington,89.2
Barbour County,West Virginia,96.8
Boone County,West Virginia,98.5
Calhoun County,West Virginia,98.4
Gilmer County,West Virginia,82.5
Jackson County,West Virginia,98.2
Marion County,West Virginia,94.3
Monongalia County,West Virginia,91
Nicholas County,West Virginia,98.4
Preston County,West Virginia,97.6
Summers County,West Virginia,93
Webster County,West Virginia,98.6
Adams County,Wisconsin,93
Bayfield County,Wisconsin,86.7
Clark County,Wisconsin,96.1
Door County,Wisconsin,96.6
Dunn County,Wisconsin,94.7
Fond du Lac County,Wisconsin,94.1
Green Lake County,Wisconsin,96.7
Iowa County,Wisconsin,97.6
Jackson County,Wisconsin,89.3
Langlade County,Wisconsin,96.4
Marquette County,Wisconsin,96.9
Monroe County,Wisconsin,93.9
Polk County,Wisconsin,96.8
Rusk County,Wisconsin,97.6
Trempealeau County,Wisconsin,94.5
Washington County,Wisconsin,95.8
Wood County,Wisconsin,95
Natrona County,Wyoming,92.8
Platte County,Wyoming,95.4
Sheridan County,Wyoming,95.4
Weston County,Wyoming,95.5
Arecibo Municipio,Puerto Rico,84.5
Morgan County,Utah,97.5
Piute County,Utah,94.7
Salt Lake County,Utah,81.2
Wasatch County,Utah,90.4
Caledonia County,Vermont,96.5
Orleans County,Vermont,96.6
Amelia County,Virginia,73.5
Bath County,Virginia,93.7
Buckingham County,Virginia,62.1
Clarke County,Virginia,90.2
Culpeper County,Virginia,75.1
Floyd County,Virginia,95.9
Goochland County,Virginia,77.5
King William County,Virginia,77.2
Lunenburg County,Virginia,60.8
Madison County,Virginia,86.7
Choctaw County,Alabama,55.8
Clarke County,Alabama,54.5
Cleburne County,Alabama,94
Coffee County,Alabama,74.7
Coosa County,Alabama,66.3
Dallas County,Alabama,29.1
Etowah County,Alabama,80.3
Franklin County,Alabama,83
Geneva County,Alabama,86.3
Henry County,Alabama,68.6
Jackson County,Alabama,90.8
Lee County,Alabama,71.3
Lowndes County,Alabama,25.3
Macon County,Alabama,15.5
Madison County,Alabama,68.2
Marion County,Alabama,93.6
Marshall County,Alabama,87.6
Montgomery County,Alabama,39.5
Perry County,Alabama,30.3
Pike County,Alabama,58.2
Randolph County,Alabama,76.5
Russell County,Alabama,53.7
Shelby County,Alabama,83
Tallapoosa County,Alabama,69.9
Walker County,Alabama,91.2
Wilcox County,Alabama,26.8
Aleutians West Census Area,Alaska,36
Bristol Bay Borough,Alaska,48.2
Dillingham Census Area,Alaska,18.1
Juneau City and Borough,Alaska,69.7
Ketchikan Gateway Borough,Alaska,68.1
Matanuska-Susitna Borough,Alaska,84.9
North Slope Borough,Alaska,33.4
Petersburg Census Area,Alaska,71.1
Sitka City and Borough,Alaska,65.3
Woodruff County,Arkansas,69.9
Alpine County,California,75
Butte County,California,81.9
Calaveras County,California,88.9
Barranquitas Municipio,Puerto Rico,86
Caguas Municipio,Puerto Rico,76.1
Carolina Municipio,Puerto Rico,64.3
ComerÃ_o Municipi,Puerto Rico,78.6
Florida Municipio,Puerto Rico,90.4
Guaynabo Municipio,Puerto Rico,79.4
Humacao Municipio,Puerto Rico,66.1
Las MarÃ_as Municipi,Puerto Rico,86.3
Maricao Municipio,Puerto Rico,89.2
Naranjito Municipio,Puerto Rico,84.2
Quebradillas Municipio,Puerto Rico,89.2
San Lorenzo Municipio,Puerto Rico,76.1
Toa Alta Municipio,Puerto Rico,76.3
Vega Baja Municipio,Puerto Rico,77.3
Bibb County,Alabama,75.8
Bullock County,Alabama,23
Calhoun County,Alabama,74.9
Mendocino County,California,76.5
Modoc County,California,83.5
Mono County,California,82.4
Nevada County,California,91.4
Orange County,California,60.8
Riverside County,California,61
San Benito County,California,63.7
San Diego County,California,64
San Francisco County,California,48.5
Santa Barbara County,California,69.6
Santa Cruz County,California,72.5
Siskiyou County,California,84.7
Solano County,California,51
Sutter County,California,61
Tehama County,California,81.5
Trinity County,California,87.3
Tuolumne County,California,87.2
Yolo County,California,63.2
Adams County,Colorado,73.3
Archuleta County,Colorado,86.4
Baca County,Colorado,92.6
Chaffee County,Colorado,93.2
Conejos County,Colorado,76.2
Delta County,Colorado,89.7
Dolores County,Colorado,93
Elbert County,Colorado,94.7
Fremont County,Colorado,90.2
Kiowa County,Colorado,96.3
Contra Costa County,California,58.6
Del Norte County,California,73.7
El Dorado County,California,86.6
Imperial County,California,58.8
Kern County,California,59.5
Kings County,California,54.3
Madera County,California,62.6
Sabine County,Texas,89.1
Middlesex County,Connecticut,89.2
New London County,Connecticut,82.2
Tolland County,Connecticut,89.8
Sussex County,Delaware,79
District of Columbia,District of Columbia,38.5
Baker County,Florida,83.7
Brevard County,Florida,83
Broward County,Florida,63.1
Citrus County,Florida,93
Collier County,Florida,83.9
Duval County,Florida,60.9
Gilchrist County,Florida,90.9
Glades County,Florida,71
Gulf County,Florida,78.1
Hardee County,Florida,72.2
Hendry County,Florida,59.9
Hernando County,Florida,89.5
Lake County,Colorado,80.7
La Plata County,Colorado,86.8
Larimer County,Colorado,90.5
Lincoln County,Colorado,89
Mesa County,Colorado,89.4
Moffat County,Colorado,90
Morgan County,Colorado,79.4
Ouray County,Colorado,96.4
Pitkin County,Colorado,93.5
Rio Blanco County,Colorado,91.9
Saguache County,Colorado,82.3
San Miguel County,Colorado,92.9
Teller County,Colorado,94.3
Washington County,Colorado,95.3
Polk County,Florida,75.2
St. Johns County,Florida,89.3
St. Lucie County,Florida,71.8
Santa Rosa County,Florida,87.8
Sarasota County,Florida,90.2
Sumter County,Florida,86.6
Union County,Florida,75
Volusia County,Florida,82.5
Washington County,Florida,80.4
Appling County,Georgia,73.4
Bacon County,Georgia,78.6
Banks County,Georgia,91.7
Berrien County,Georgia,84.7
Brantley County,Georgia,94.4
Bulloch County,Georgia,67.2
Burke County,Georgia,47.5
Calhoun County,Georgia,34.7
