County,State,Value
Piscataquis County,Maine,0.5
Washington County,Maine,4.9
Calvert County,Maryland,0.4
Carroll County,Maryland,0.2
Charles County,Maryland,0.7
Howard County,Maryland,0.3
Kent County,Maryland,0.2
St. Mary's County,Maryland,0.4
Somerset County,Maryland,0.3
Barnstable County,Massachusetts,0.6
Franklin County,Massachusetts,0.3
Antrim County,Michigan,1
Branch County,Michigan,0.4
Clare County,Michigan,0.7
Crawford County,Michigan,0.5
Eaton County,Michigan,0.4
Gladwin County,Michigan,0.5
Iron County,Missouri,0.5
Jasper County,Missouri,1.5
Knox County,Missouri,0.2
Linn County,Missouri,0.2
Madison County,Missouri,0.4
Marion County,Missouri,0.2
Moniteau County,Missouri,0.3
Morgan County,Missouri,0.7
Perry County,Missouri,0.3
Pulaski County,Missouri,0.8
St. Clair County,Missouri,0.7
Saline County,Missouri,0.3
Sullivan County,Missouri,0.7
Washington County,Missouri,0.4
Webster County,Missouri,0.7
Cascade County,Montana,4.3
Golden Valley County,Montana,1
Lake County,Montana,22
Madison County,Montana,0.5
Pondera County,Montana,14.5
Silver Bow County,Montana,1.9
Treasure County,Montana,0.8
Wheatland County,Montana,0.5
Adams County,Nebraska,0.4
Blaine County,Nebraska,0
Butler County,Nebraska,0.1
Clay County,Nebraska,0.5
Colfax County,Nebraska,1.1
Dawson County,Nebraska,0.8
Fillmore County,Nebraska,0.5
Frontier County,Nebraska,0.3
Grant County,Nebraska,0.2
Hall County,Nebraska,0.9
Johnson County,Nebraska,1.1
Kearney County,Nebraska,0.2
Logan County,Nebraska,0.9
McPherson County,Nebraska,0
Nance County,Nebraska,0.3
Pawnee County,Nebraska,0.1
Pierce County,Nebraska,0.2
Polk County,Nebraska,0.2
Saline County,Nebraska,0.4
Sherman County,Nebraska,0.1
Stanton County,Nebraska,0.4
Valley County,Nebraska,0.1
Wheeler County,Nebraska,0.1
Eureka County,Nevada,2.4
Pershing County,Nevada,3.2
White Pine County,Nevada,4.2
Camden County,New Jersey,0.3
Gloucester County,New Jersey,0.2
Passaic County,New Jersey,0.7
Bernalillo County,New Mexico,4.8
Lauderdale County,Mississippi,0.2
Leake County,Mississippi,6
Leflore County,Mississippi,0.2
Marion County,Mississippi,0.2
Neshoba County,Mississippi,16.2
Perry County,Mississippi,0.3
Quitman County,Mississippi,0.2
Stone County,Mississippi,0.5
Tate County,Mississippi,0.2
Webster County,Mississippi,0.2
Winston County,Mississippi,1.1
Audrain County,Missouri,0.4
Bollinger County,Missouri,0.6
Camden County,Missouri,0.5
Carter County,Missouri,1.1
Christian County,Missouri,0.6
Crawford County,Missouri,0.5
Dent County,Missouri,0.9
Howard County,Missouri,0.5
Alamance County,North Carolina,0.7
Alleghany County,North Carolina,0.2
Bladen County,North Carolina,2.1
Buncombe County,North Carolina,0.4
Caldwell County,North Carolina,0.3
Clay County,North Carolina,0.3
Dare County,North Carolina,0.4
Davidson County,North Carolina,0.5
Forsyth County,North Carolina,0.4
Guilford County,North Carolina,0.5
Hertford County,North Carolina,1.1
Jones County,North Carolina,0.6
Martin County,North Carolina,0.3
Nash County,North Carolina,0.7
Pender County,North Carolina,0.6
Randolph County,North Carolina,0.7
Scotland County,North Carolina,10.9
