County,State,Value
Davidson County,North Carolina,8.9
Forsyth County,North Carolina,26
Guilford County,North Carolina,32.5
Hertford County,North Carolina,60.5
Jones County,North Carolina,32.4
Martin County,North Carolina,43.5
Nash County,North Carolina,37.2
Pender County,North Carolina,17.8
Randolph County,North Carolina,5.8
Scotland County,North Carolina,38.6
Vance County,North Carolina,49.9
Wake County,North Carolina,20.7
Barnes County,North Dakota,0.8
Billings County,North Dakota,0.3
Cavalier County,North Dakota,0.1
Foster County,North Dakota,0.1
Grand Forks County,North Dakota,2
LaMoure County,North Dakota,0.1
Mountrail County,North Dakota,0.2
Ransom County,North Dakota,0.3
Rolette County,North Dakota,0.2
Steele County,North Dakota,0.2
Towner County,North Dakota,0.1
Allen County,Ohio,11.9
Brown County,Ohio,0.9
Clinton County,Ohio,2.2
Defiance County,Ohio,1.9
Fayette County,Ohio,2
Geauga County,Ohio,1.3
Guernsey County,Ohio,1.5
Hancock County,Ohio,1.5
Knox County,Ohio,0.8
Logan County,Ohio,1.6
Madison County,Ohio,6.6
Miami County,Ohio,2
Muskingum County,Ohio,3.8
Pike County,Ohio,0.9
Putnam County,Ohio,0.3
Seneca County,Ohio,2.3
Tuscarawas County,Ohio,0.8
Wayne County,Ohio,1.5
Wood County,Ohio,2.4
Beckham County,Oklahoma,4
Carter County,Oklahoma,6.7
Coal County,Oklahoma,0.5
Custer County,Oklahoma,3
Garfield County,Oklahoma,3
Greer County,Oklahoma,7.1
Eddy County,New Mexico,1.4
Guadalupe County,New Mexico,1.7
Lincoln County,New Mexico,0.5
Socorro County,New Mexico,1.1
Allegany County,New York,1.1
Chenango County,New York,0.7
Genesee County,New York,2.7
Herkimer County,New York,1.1
Lewis County,New York,0.7
Oneida County,New York,6.3
Otsego County,New York,1.7
Saratoga County,New York,1.5
Steuben County,New York,1.6
Warren County,New York,0.9
Yates County,New York,0.8
Blair County,Pennsylvania,1.7
Bradford County,Pennsylvania,0.5
Cambria County,Pennsylvania,3.6
Clarion County,Pennsylvania,1.2
Elk County,Pennsylvania,0.3
Indiana County,Pennsylvania,2.7
Lackawanna County,Pennsylvania,2.5
Mifflin County,Pennsylvania,0.6
Montour County,Pennsylvania,1.4
Potter County,Pennsylvania,0.4
Sullivan County,Pennsylvania,2.6
Warren County,Pennsylvania,0.4
Allendale County,South Carolina,73.6
Bamberg County,South Carolina,61.5
Clarendon County,South Carolina,50.1
Fairfield County,South Carolina,59.1
Greenwood County,South Carolina,31.4
Horry County,South Carolina,13.4
Laurens County,South Carolina,25.4
Newberry County,South Carolina,31
