County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Dodge County,Georgia,0.5,29.8,3.4,0.3,1.6,66.8
Dougherty County,Georgia,0.8,67.1,2.2,0.2,1,29.6
Echols County,Georgia,0.3,4.2,29.3,1.8,15.8,74.9
Effingham County,Georgia,0.8,13.5,2.9,0.3,0.8,82.6
Elbert County,Georgia,0.6,29.5,4.8,0.2,2.7,65.9
Evans County,Georgia,0.7,29.1,13.1,0.2,10,58.8
Fannin County,Georgia,0.3,0.4,1.8,0.3,0.7,97.1
Floyd County,Georgia,1.3,14.2,9.3,0.4,5.3,76.9
Wrangell City and Borough,Alaska,1.4,0.2,1.6,16.2,0.2,72.6
Yukon-Koyukuk Census Area,Alaska,0.3,0.2,1.2,71.4,0.2,22.2
Graham County,Arizona,0.5,1.8,30.4,14.4,8.2,72.1
Indian River County,Florida,1.2,9,11.2,0.3,3.6,84.3
Jackson County,Florida,0.5,26.6,4.3,0.7,1.2,69.1
Jefferson County,Florida,0.4,36.2,3.7,0.3,1.5,60.4
Levy County,Florida,0.6,9.4,7.5,0.4,2.2,85.5
Madison County,Florida,0.2,38.8,4.7,0.5,1.6,57.6
Nassau County,Florida,0.9,6.4,3.2,0.4,0.9,89.8
Okaloosa County,Florida,2.9,9.3,6.8,0.6,2,81.1
Orange County,Florida,4.9,20.8,26.9,0.4,6.7,63.6
Osceola County,Florida,2.8,11.3,45.5,0.5,10.3,71
Palm Beach County,Florida,2.4,17.3,19,0.5,4,73.5
Crittenden County,Arkansas,0.6,51.2,2,0.3,0.8,46.1
Faulkner County,Arkansas,1.1,10.2,3.9,0.6,1.8,84.3
Franklin County,Arkansas,0.9,0.7,2,1,0.5,95
Grant County,Arkansas,0.3,2.2,2.2,0.4,1.2,94.9
Hempstead County,Arkansas,0.4,29.4,12,0.4,8.5,59.4
Hot Spring County,Arkansas,0.3,10.8,2.8,0.5,1,85.6
Jackson County,Arkansas,0.3,16.7,2.4,0.5,1.1,79.8
Lafayette County,Arkansas,0.3,37.2,1.7,0.2,0.7,60.7
Little River County,Arkansas,0.3,19.1,2.7,1.5,1.6,75.5
Madison County,Arkansas,0.5,0.2,4.8,1.2,2.7,93.6
Marion County,Arkansas,0.2,0.2,1.7,0.7,0.3,97
Nevada County,Arkansas,0.3,30.7,2.4,0.3,1.4,65.9
Ouachita County,Arkansas,0.4,40.1,1.6,0.3,0.6,57
Perry County,Arkansas,0.2,1.9,2.4,0.7,0.5,95.2
Phillips County,Arkansas,0.3,63.1,1.3,0.2,0.4,35
Polk County,Arkansas,0.5,0.3,5.8,1.8,2.5,92.7
Pope County,Arkansas,1,2.9,6.7,0.8,3.6,89.5
Aleutians East Borough,Alaska,36,7,12.3,27.9,2.7,21
Saline County,Arkansas,0.9,4.7,3.8,0.5,2,90.5
Scott County,Arkansas,3.4,0.5,7,1.9,3.8,88
Sevier County,Arkansas,0.4,4.3,30.6,2.3,19.9,70
Stone County,Arkansas,0.4,0.1,1.3,0.7,0.4,96.8
Wilkes County,Georgia,0.5,42.8,3.4,0.2,2,53
Hawaii County,Hawaii,22.2,0.6,11.6,0.5,1.5,33.7
Ada County,Idaho,2.4,1.1,7.1,0.7,2.4,90.3
Adams County,Idaho,0.4,0.1,2.4,1,0.7,96.1
Bear Lake County,Idaho,0.4,0.1,3.6,0.5,1.6,96.3
Benewah County,Idaho,0.3,0.3,2.5,8.7,0.5,86.6
Bingham County,Idaho,0.6,0.2,17.2,6.5,9.8,80.6
Blaine County,Idaho,0.9,0.2,20,0.6,11.8,84.9
Bonneville County,Idaho,0.8,0.6,11.4,0.8,5.1,90.6
Butte County,Idaho,0.2,0.2,4.1,0.4,2,95.5
Cassia County,Idaho,0.5,0.3,24.9,0.8,14.2,81.8
Clearwater County,Idaho,0.7,0.2,3.1,2.2,0.8,93.9
Franklin County,Idaho,0.1,0.2,6.6,0.4,3.3,94.4
Greenlee County,Arizona,0.5,1.1,47.9,2.3,15,77.2
Mohave County,Arizona,1.1,0.9,14.8,2.2,6,86.9
Pinal County,Arizona,1.7,4.6,28.5,5.6,11.5,72.4
Yuma County,Arizona,1.2,2,59.7,1.6,20.8,70.4
Ashley County,Arkansas,0.2,25.8,4.9,0.3,3.2,69.3
Calhoun County,Arkansas,0.2,22.2,2.8,0.3,1.4,74.5
Carroll County,Arkansas,0.6,0.4,12.7,0.9,6.1,89.6
Clay County,Arkansas,0.1,0.3,1.3,0.3,0.5,97.5
Crawford County,Arkansas,1.4,1.2,6.1,2.2,3.1,89.1
Boone County,Illinois,1.3,2,20.2,0.4,9.3,84.4
Bureau County,Illinois,0.7,0.6,7.7,0.3,3,94.2
Calhoun County,Illinois,0.2,0.1,0.8,0.2,0.2,98.9
Clark County,Illinois,0.3,0.3,1.1,0.2,0.3,98.1
Crawford County,Illinois,0.5,4.7,1.8,0.2,0.8,92.8
DeKalb County,Illinois,2.3,6.4,10.1,0.3,3.9,85.1
Douglas County,Illinois,0.4,0.3,6.1,0.2,2.3,95.7
DuPage County,Illinois,10.1,4.6,13.3,0.3,4.9,77.9
Edwards County,Illinois,0.3,0.4,0.9,0.1,0.3,98
Fayette County,Illinois,0.2,4.4,1.4,0.2,0.4,93.7
Ford County,Illinois,0.3,0.6,2.1,0.2,0.6,97.1
Gallatin County,Illinois,0.1,0.2,1.2,0.3,0.4,97.9
Jackson County,Illinois,3.2,14.3,4,0.4,1.6,77.8
Jefferson County,Illinois,0.6,8.4,2.1,0.2,0.8,88.4
Jersey County,Illinois,0.3,0.4,1,0.3,0.2,97.6
Jo Daviess County,Illinois,0.3,0.5,2.7,0.2,0.9,97.2
Kendall County,Illinois,3,5.7,15.6,0.3,5,83.6
LaSalle County,Illinois,0.7,1.9,8,0.3,2.5,93.2
Lawrence County,Illinois,0.2,9.6,3.3,0.2,1.7,87.3
Logan County,Illinois,0.6,7.5,2.9,0.2,1.2,89.1
McDonough County,Illinois,1.8,5,2.7,0.2,0.7,90.4
McHenry County,Illinois,2.5,1.1,11.4,0.3,4.3,90.1
Macoupin County,Illinois,0.3,0.8,0.9,0.3,0.2,97.6
Mason County,Illinois,0.3,0.4,0.8,0.2,0.1,98.1
Massac County,Illinois,0.3,5.9,1.9,0.4,0.5,91
Monroe County,Illinois,0.4,0.2,1.4,0.2,0.3,98
Ogle County,Illinois,0.5,0.9,8.9,0.2,3.8,93.2
Piatt County,Illinois,0.3,0.3,1,0.2,0.2,98
Pulaski County,Illinois,0.2,32.4,1.6,0.4,0.7,64.4
Richland County,Illinois,0.7,0.5,1.3,0.2,0.4,97.3
Rock Island County,Illinois,1.6,9,11.6,0.3,4.4,81.6
Saline County,Illinois,0.4,4,1.4,0.4,0.4,93
Sangamon County,Illinois,1.6,11.8,1.8,0.2,0.5,83.6
Stephenson County,Illinois,0.6,9,2.9,0.2,1.2,86.5
Vermilion County,Illinois,0.7,13,4.2,0.2,1.5,82.5
Washington County,Illinois,0.3,0.7,1.3,0.1,0.4,97.7
Whiteside County,Illinois,0.5,1.3,11,0.3,3.5,92.2
Will County,Illinois,4.6,11.2,15.6,0.3,5.8,76
Adams County,Indiana,0.2,0.3,4.1,0.2,1.4,97
Blackford County,Indiana,0.1,0.4,0.9,0.2,0.3,97.7
Boone County,Indiana,1.7,0.9,2.2,0.2,0.7,95.3
Carroll County,Indiana,0.1,0.2,3.5,0.2,1.7,96.8
Clay County,Indiana,0.2,0.3,1.1,0.2,0.5,97.8
Crawford County,Indiana,0.2,0.2,1.2,0.4,0.6,97.4
Decatur County,Indiana,0.7,0.3,1.7,0.2,0.6,97.3
Fremont County,Idaho,0.2,0.3,12.8,0.7,7.6,89.5
Gooding County,Idaho,0.5,0.2,28.1,0.8,15.3,80.7
Jerome County,Idaho,0.3,0.3,31,1.3,15.8,80
Kootenai County,Idaho,0.7,0.3,3.8,1.3,0.8,94.5
Lewis County,Idaho,0.4,0.4,3.3,4.7,1.6,90.3
Madison County,Idaho,0.9,0.5,5.9,0.3,2.8,93.9
Nez Perce County,Idaho,0.7,0.3,2.8,5.6,0.7,90.1
Oneida County,Idaho,0.5,0.2,2.9,0.5,1.1,96.7
Power County,Idaho,0.4,0.3,29.8,2.3,19.5,75.1
Shoshone County,Idaho,0.4,0.2,3,1.4,0.5,95.4
Valley County,Idaho,0.4,0.1,3.9,0.7,1.6,95.8
Alexander County,Illinois,0.2,35.4,1.9,0.3,1.4,60.9
Harlan County,Kentucky,0.3,2.2,0.7,0.1,0.2,96.1
Harrison County,Kentucky,0.2,2,1.8,0.2,0.6,95.7
Henry County,Kentucky,0.2,2.7,2.9,0.2,1.4,93.7
Hickman County,Kentucky,0.2,9.2,1.2,0.2,0.3,88.4
Jackson County,Kentucky,0.1,0.1,0.6,0.2,0.1,98.9
Johnson County,Kentucky,0.4,0.2,0.5,0.1,0.1,98.4
Knott County,Kentucky,0.1,0.7,0.6,0.1,0.2,98.3
Laurel County,Kentucky,0.5,0.7,1.2,0.3,0.4,97
Leslie County,Kentucky,0.1,0.2,0.4,0.1,0.1,98.8
Lewis County,Kentucky,0.1,0.3,0.6,0.2,0.1,98.9
Lyon County,Kentucky,0.3,5.3,0.9,0.1,0.2,93
McCracken County,Kentucky,0.8,11,2.1,0.2,0.7,85
McLean County,Kentucky,0.1,0.6,1.1,0.2,0.7,97.6
Marion County,Kentucky,0.6,8.1,2.4,0.2,1.4,88.1
Mason County,Kentucky,0.6,6.4,1.4,0.2,0.7,90.3
Otsego County,Michigan,0.4,0.3,1.2,0.7,0.2,96.9
Ottawa County,Michigan,2.6,1.5,8.6,0.4,3.4,90.1
Presque Isle County,Michigan,0.3,0.4,0.9,0.7,0.1,97.6
St. Clair County,Michigan,0.5,2.4,2.9,0.4,0.7,93.9
St. Joseph County,Michigan,0.7,2.6,6.6,0.5,3.5,90.6
Tuscola County,Michigan,0.3,1.1,2.8,0.5,0.7,96.1
Wayne County,Michigan,2.5,40.5,5.2,0.4,1.8,52.3
Aitkin County,Minnesota,0.2,0.4,0.9,2.4,0.1,95.6
Beltrami County,Minnesota,0.7,0.6,1.5,20.3,0.3,75.1
Blue Earth County,Minnesota,2,2.7,2.5,0.3,0.6,92.8
Carlton County,Minnesota,0.5,1.4,1.4,5.9,0.2,89.7
Worcester County,Massachusetts,4,4.2,9.4,0.2,3.6,85.6
Alger County,Michigan,0.3,6.4,1.2,4.1,0.1,86.3
Allegan County,Michigan,0.6,1.2,6.7,0.6,2.8,92.9
Bay County,Michigan,0.5,1.6,4.7,0.5,1,94.1
Benzie County,Michigan,0.3,0.4,1.7,1.4,0.5,96.1
Ravalli County,Montana,0.5,0.2,3,0.9,0.6,95.9
Saunders County,Nebraska,0.4,0.3,2,0.3,0.7,97.2
Scotts Bluff County,Nebraska,0.6,0.6,21.1,2.1,7.4,87.4
Sheridan County,Nebraska,0.3,0.2,3.1,11.3,0.4,84.6
Thayer County,Nebraska,0.3,0.2,1.5,0.2,0.5,97.9
Thurston County,Nebraska,0.1,0.2,2.7,57.1,0.2,40.4
Webster County,Nebraska,0.3,0.5,3.5,0.2,1.3,96
York County,Nebraska,0.4,1.2,4.1,0.4,1.9,95
Elko County,Nevada,0.9,0.8,22.9,5.3,10.3,79.4
Esmeralda County,Nevada,0.4,0,15.3,4.2,6.6,84.4
Humboldt County,Nevada,0.7,0.5,24.4,4.2,12.7,79
Lincoln County,Nevada,0.7,2.3,6.2,1.1,2.2,91.1
Storey County,Nevada,1.6,1,5.7,1.6,1.1,92.1
Falls Church city,Virginia,9.4,4.3,9,0.3,2.1,79.9
Hancock County,Kentucky,0.2,0.9,1.1,0.3,0.3,97.3
Mercer County,Kentucky,0.4,3.6,2.3,0.2,1.3,92.8
Belknap County,New Hampshire,1.2,0.5,1.2,0.2,0.2,96.6
Grafton County,New Hampshire,3,0.9,1.8,0.4,0.4,93.6
Hillsborough County,New Hampshire,3.2,2.1,5.3,0.2,2.1,90.4
Rockingham County,New Hampshire,1.7,0.7,2.1,0.2,0.6,95.5
Atlantic County,New Jersey,7.5,16.1,16.8,0.4,7.4,65.4
Cape May County,New Jersey,0.9,4.7,6.2,0.2,2.5,89.8
Essex County,New Jersey,4.6,40.9,20.3,0.4,8.4,42.6
Cass County,Minnesota,0.3,0.2,1.2,11.2,0.2,85.9
Hunterdon County,New Jersey,3.3,2.7,5.2,0.1,1.2,91.4
Morris County,New Jersey,9,3.1,11.5,0.2,3,82.6
Ocean County,New Jersey,1.7,3.2,8.3,0.2,2.5,91
Salem County,New Jersey,0.8,14.1,6.8,0.4,2.6,79.8
Union County,New Jersey,4.6,22.1,27.3,0.4,8.5,61.3
Catron County,New Mexico,0.2,0.4,19,2.7,3.8,89.8
Colfax County,New Mexico,0.4,0.5,47.2,1.5,10.3,83.8
Lowndes County,Mississippi,0.7,43.5,1.5,0.2,0.6,54
Madison County,Mississippi,2.1,38.2,2.9,0.2,1.6,57
Monroe County,Mississippi,0.2,30.9,1,0.2,0.3,67.7
Newton County,Mississippi,0.2,30.2,1.3,5,0.4,63.2
Pearl River County,Mississippi,0.4,12.3,2.9,0.6,0.9,84
Pike County,Mississippi,0.6,51.5,1.2,0.3,0.5,46.4
Prentiss County,Mississippi,0.1,13.8,1.2,0.2,0.5,84.3
Rankin County,Mississippi,1.1,18.8,2.7,0.2,1.4,77.3
Scott County,Mississippi,0.2,37.5,10.7,0.3,7.2,53.3
Simpson County,Mississippi,0.3,35.1,1.4,0.2,0.7,62.8
Smith County,Mississippi,0.1,22.9,1.2,0.1,0.5,75.8
Sunflower County,Mississippi,0.3,72.9,1.4,0.2,0.6,25.4
Tallahatchie County,Mississippi,0.8,56.4,5.6,0.3,2.4,38.9
Tippah County,Mississippi,0.2,15.9,4.4,0.2,2.3,80
Tishomingo County,Mississippi,0.1,2.6,2.8,0.2,1.7,94.5
Walthall County,Mississippi,0.2,44.5,1.5,0.4,0.4,53.4
Wayne County,Mississippi,0.2,38.9,1.2,0.2,0.7,59.3
Wilkinson County,Mississippi,0,70.8,0.4,0.1,0.1,28.7
Yalobusha County,Mississippi,0.2,37.9,1.2,0.3,0.3,60.5
Andrew County,Missouri,0.4,0.4,1.7,0.3,0.3,97.4
Carson City,Nevada,2.1,1.9,21.3,2.4,9.4,81.1
Barton County,Missouri,0.2,0.4,1.9,1.1,0.7,95
Bates County,Missouri,0.2,0.9,1.6,0.6,0.4,96.6
Buchanan County,Missouri,0.8,5.2,5.2,0.4,1.8,89.1
Callaway County,Missouri,0.6,4.6,1.6,0.5,0.5,92
Carroll County,Missouri,0.1,1.7,1.3,0.2,0.2,96.6
Chariton County,Missouri,0.1,2,0.5,0.2,0.2,96.7
Clay County,Missouri,2.1,5.2,5.9,0.5,1.8,87.5
Cole County,Missouri,1.3,11.2,2.4,0.3,0.9,84.4
Dade County,Missouri,0.3,0.4,1.5,0.9,0.2,96
Daviess County,Missouri,0.1,0.3,1,0.4,0.1,98
Douglas County,Missouri,0.2,0.2,0.8,0.6,0.1,97.1
Gasconade County,Missouri,0.3,0.2,1,0.2,0.2,97.9
Gentry County,Missouri,0.3,0.3,0.5,0.2,0.2,98.4
Grundy County,Missouri,0.4,0.6,1.7,0.4,0.7,96.9
Hickory County,Missouri,0.2,0.3,0.9,0.7,0.3,97
Hudson County,New Jersey,13.4,13.2,42.2,0.6,14.2,54
Beaufort County,North Carolina,0.3,25.6,6.6,0.4,4.2,68.2
Brunswick County,North Carolina,0.5,11.4,5.2,0.7,2.5,83
Burke County,North Carolina,3.5,6.6,5.1,0.4,3.1,84.4
Camden County,North Carolina,1.5,13.2,2.2,0.3,0.7,82.1
Catawba County,North Carolina,3.5,8.4,8.4,0.3,4.1,81.7
Chatham County,North Carolina,1.1,13.2,13,0.5,7.3,76
Cherokee County,North Carolina,0.5,1.3,2.5,1.3,0.8,93.6
Chowan County,North Carolina,0.4,34.3,3.2,0.3,1.8,62
Craven County,North Carolina,2,22.4,6.1,0.5,2.3,70
Davie County,North Carolina,0.6,6.3,6.1,0.4,3.5,87.5
Norton County,Kansas,0.5,2.9,4.2,0.2,0.6,94.5
Panola County,Mississippi,0.2,48.6,1.4,0.2,0.6,49.4
Edgecombe County,North Carolina,0.2,57.4,3.7,0.3,2.3,38.8
Franklin County,North Carolina,0.5,26.7,7.9,0.5,4.4,66
Gaston County,North Carolina,1.2,15.3,5.9,0.4,3.1,78.2
Granville County,North Carolina,0.5,32.8,7.5,0.6,3.9,60.4
Halifax County,North Carolina,0.7,53.2,2.1,3.8,1.1,40
Haywood County,North Carolina,0.4,1.1,3.4,0.5,1.4,95.5
Hoke County,North Carolina,1,33.5,12.4,9.6,5.8,45.3
Jackson County,North Carolina,0.9,1.8,5.1,9.4,2.7,83.2
Johnston County,North Carolina,0.6,15.1,12.9,0.6,7.5,74.2
Lee County,North Carolina,0.8,20,18.3,0.7,9.1,66.9
Lenoir County,North Carolina,0.4,40.5,6.6,0.4,3.9,53.4
McDowell County,North Carolina,0.8,3.8,5.3,0.4,3.2,90.6
Mecklenburg County,North Carolina,4.6,30.8,12.2,0.5,6.2,55.3
New Hanover County,North Carolina,1.2,14.8,5.3,0.5,2.4,79.1
Barry County,Missouri,1.3,0.3,7.7,0.9,3.5,92.1
Orange County,North Carolina,6.7,11.9,8.2,0.4,4,74.4
Pasquotank County,North Carolina,1.1,37.8,4,0.3,1.8,56.7
Perquimans County,North Carolina,0.3,24.9,2.1,0.3,1.2,72.1
Pitt County,North Carolina,1.6,34.1,5.5,0.3,3.1,58.9
Richmond County,North Carolina,0.9,30.6,5.9,2.5,3.6,60.2
Rowan County,North Carolina,1,16.2,7.7,0.3,4.3,76.5
Stanly County,North Carolina,1.8,10.9,3.6,0.3,2.1,83.6
Stokes County,North Carolina,0.3,4,2.6,0.3,1.2,92.9
Surry County,North Carolina,0.5,3.7,9.7,0.3,6,88.1
Tyrrell County,North Carolina,1.8,38.2,5.4,0.4,3.7,54.5
Wayne County,North Carolina,1.2,31.4,9.9,0.4,5.9,58.8
Wilkes County,North Carolina,0.4,4.1,5.4,0.2,3.3,90.6
Yancey County,North Carolina,0.2,0.8,4.6,0.4,2.4,95.2
Avery County,North Carolina,0.3,4,4.5,0.4,2.4,91.9
Bottineau County,North Dakota,0.2,0.4,1.3,2.1,0.3,95.1
Bowman County,North Dakota,0.1,0.1,2.5,0.6,0.9,97.9
Burleigh County,North Dakota,0.5,0.6,1.2,4.2,0.3,93
Dickey County,North Dakota,0.4,0.7,1.9,0.6,0.5,96.5
Eddy County,North Dakota,0.3,0.2,2.2,2.4,0.8,95.2
Emmons County,North Dakota,0.2,0.1,1,0.4,0.2,98.5
Grant County,North Dakota,0.1,0,0.3,1.1,0.2,97.2
Griggs County,North Dakota,0.2,0.3,0.4,0.3,0.2,98.8
Logan County,North Dakota,0.3,0.1,0.6,0.5,0.1,98.4
McKenzie County,North Dakota,0.3,0.1,2.2,22.2,0.4,75.3
Mercer County,North Dakota,0.3,0.2,1.4,2.3,0.4,95.6
Nelson County,North Dakota,0.1,0.3,1.1,1,0,97.2
Renville County,North Dakota,0.2,0.1,1,0.4,0.2,97.9
Duplin County,North Carolina,0.3,25.3,20.6,0.5,15.1,57.2
Sargent County,North Dakota,0.2,0.1,1.3,0.5,0.3,98
Sheridan County,North Dakota,0.2,0.3,1.2,1.1,0.4,96.7
Stark County,North Dakota,1.2,0.8,1.9,1,0.5,95.2
Stutsman County,North Dakota,0.5,0.7,1.7,1.4,0.5,95.6
Traill County,North Dakota,0.3,0.5,2.6,0.8,1.1,96.2
Walsh County,North Dakota,0.3,0.2,8.7,1.5,3.1,93.5
Adams County,Ohio,0.1,0.3,0.9,0.4,0.2,97.7
Ashland County,Ohio,0.5,0.7,0.9,0.2,0.2,97.3
Belmont County,Ohio,0.4,4,0.6,0.1,0.2,94
Butler County,Ohio,2.4,7.3,4,0.2,1.8,86
Carroll County,Ohio,0.2,0.5,0.8,0.3,0.2,97.8
Clark County,Ohio,0.6,8.8,2.8,0.3,1.4,86.3
Columbiana County,Ohio,0.3,2.2,1.2,0.2,0.5,95.5
Crawford County,Ohio,0.4,0.9,1.2,0.1,0.3,97.2
Northampton County,North Carolina,0.2,58.4,1.4,0.5,0.8,39.2
Darke County,Ohio,0.3,0.4,1.2,0.2,0.4,97.8
Fairfield County,Ohio,1.1,6,1.7,0.2,0.6,90.2
Franklin County,Ohio,3.9,21.2,4.8,0.2,2.3,69.2
Fulton County,Ohio,0.4,0.4,7.8,0.3,2.4,94.9
Harrison County,Ohio,0.1,2.1,0.5,0.1,0.1,95.9
Highland County,Ohio,0.2,1.4,0.7,0.3,0.1,96.5
Huron County,Ohio,0.3,1,5.6,0.2,2,94.9
Jackson County,Ohio,0.3,0.6,0.8,0.4,0.2,97.1
Lawrence County,Ohio,0.4,2,0.7,0.2,0.2,95.9
Lorain County,Ohio,0.9,8.6,8.4,0.3,2.5,84.8
Mahoning County,Ohio,0.7,15.7,4.7,0.2,1.4,79.9
Medina County,Ohio,1,1.2,1.6,0.1,0.4,96.1
Mercer County,Ohio,0.4,0.2,1.5,0.2,0.6,97.4
Benson County,North Dakota,0,0,1.2,55,0.2,43.4
Montgomery County,Ohio,1.7,20.9,2.3,0.2,0.8,73.9
Morrow County,Ohio,0.3,0.3,1.1,0.1,0.2,97.7
Perry County,Ohio,0.1,0.3,0.5,0.2,0.1,97.9
Pickaway County,Ohio,0.4,3.4,1.1,0.2,0.3,94.5
Portage County,Ohio,1.4,4.1,1.3,0.2,0.3,92.3
Preble County,Ohio,0.4,0.4,0.6,0.2,0.2,97.6
Richland County,Ohio,0.6,9.4,1.4,0.2,0.4,87.5
Sandusky County,Ohio,0.3,2.8,8.9,0.2,2.8,91.2
Stark County,Ohio,0.7,7.6,1.6,0.3,0.5,88.7
Summit County,Ohio,2.2,14.4,1.6,0.2,0.5,80.6
Union County,Ohio,2.7,2.4,1.3,0.2,0.3,92.9
Vinton County,Ohio,0.2,0.3,0.5,0.4,0.1,97.9
Williams County,Ohio,0.6,1,3.7,0.2,1.1,95.9
Wyandot County,Ohio,0.6,0.2,2.2,0.2,1.1,96.9
Atoka County,Oklahoma,0.4,3.7,2.9,13.8,1.1,73.8
Blaine County,Oklahoma,0.2,2.6,24.1,8,5.7,79.7
Bryan County,Oklahoma,0.5,1.5,5,12.9,1.7,76.2
Canadian County,Oklahoma,3,2.5,6.7,4.8,2.3,83.1
Cherokee County,Oklahoma,0.6,1.3,6.3,34,2.7,52.3
Cimarron County,Oklahoma,0.3,0.2,20.8,0.8,12.1,84.7
Cotton County,Oklahoma,0.2,2.1,5.6,8.9,1.9,81.3
Dewey County,Oklahoma,0.7,0.3,4.8,5.8,1,89.1
Grady County,Oklahoma,0.4,2.4,4.6,5.4,1.5,85.8
Harding County,New Mexico,0,0.3,43,1.2,10.2,86.9
Hidalgo County,New Mexico,0.5,0.6,56.6,0.8,11,85.3
Los Alamos County,New Mexico,6,0.6,14.7,0.8,2.2,87.8
Luna County,New Mexico,0.5,1.1,61.5,1.3,16.6,77.7
Otero County,New Mexico,1.2,3.5,34.5,6.7,11.5,72.7
Rio Arriba County,New Mexico,0.4,0.5,71.3,16,28,51.6
Roosevelt County,New Mexico,0.9,1.8,39.9,1.3,15.9,76.9
San Juan County,New Mexico,0.4,0.6,19.1,36.6,7.3,51.6
Santa Fe County,New Mexico,1.2,0.9,50.6,3.1,15.1,76.2
Sierra County,New Mexico,0.4,0.4,28,1.7,8.6,85.6
Torrance County,New Mexico,0.4,1.3,39.1,2.3,15.5,76.1
Albany County,New York,4.8,12.7,4.9,0.2,1.6,78.2
Broome County,New York,3.5,4.8,3.4,0.2,1,88
Cayuga County,New York,0.5,4,2.4,0.4,0.8,92.5
Chemung County,New York,1.2,6.6,2.5,0.3,0.6,88.7
Clinton County,New York,1.1,3.9,2.5,0.3,0.7,92.5
Cortland County,New York,0.8,1.5,2.2,0.3,0.5,95.1
Dutchess County,New York,3.5,9.9,10.5,0.3,3.5,80.1
Monroe County,Ohio,0.1,0.4,0.4,0.1,0.1,98.1
Franklin County,New York,0.4,6.1,2.9,7.4,0.7,84.2
Fulton County,New York,0.6,1.9,2.3,0.2,0.5,95.3
Greene County,New York,0.8,5.7,4.9,0.3,1.1,90.3
Hamilton County,New York,0.5,0.7,1.1,0.2,0.1,97.3
Kings County,New York,10.5,34.3,19.8,0.5,8.8,42.8
Livingston County,New York,1.2,2.4,2.8,0.3,0.8,93.8
Monroe County,New York,3.3,15.2,7.3,0.3,2.5,76.1
Nassau County,New York,7.6,11.1,14.6,0.2,5.6,73
Niagara County,New York,0.8,6.9,2.2,1.1,0.5,88.5
Orange County,New York,2.4,10.2,18,0.5,6.6,77.2
Orleans County,New York,0.4,5.9,4.1,0.6,1.3,89.8
Quay County,New Mexico,1,1.1,42.4,1.2,7.2,86.1
Putnam County,New York,1.9,2.4,11.7,0.2,2.8,90.7
Rockland County,New York,6.2,11.9,15.7,0.3,5.8,73.2
St. Lawrence County,New York,1,2.2,1.9,1,0.6,93.9
Schuyler County,New York,0.3,0.9,1.3,0.3,0.2,97.1
Suffolk County,New York,3.4,7.4,16.5,0.4,5.6,80.8
Tioga County,New York,0.7,0.7,1.4,0.2,0.3,96.9
Ulster County,New York,1.7,6,8.7,0.3,2.5,86.7
Wayne County,New York,0.5,3.1,3.7,0.3,1.3,92.9
Richland County,North Dakota,0.5,0.7,1.7,2,0.4,95
Bucks County,Pennsylvania,3.8,3.6,4.3,0.2,1.5,89.2
Cameron County,Pennsylvania,0.3,0.3,0.4,0.3,0.1,98.3
Clinton County,Pennsylvania,0.5,1.6,1.1,0.1,0.4,96.5
Cumberland County,Pennsylvania,3,3.2,2.7,0.2,0.9,90.9
Delaware County,Pennsylvania,4.7,19.7,3,0.2,0.9,72.5
Erie County,Pennsylvania,1.1,7.2,3.4,0.2,1.2,88.2
Fayette County,Pennsylvania,0.3,4.6,0.8,0.1,0.3,93.3
Greene County,Pennsylvania,0.3,3.3,1.2,0.2,0.7,94.6
Huntingdon County,Pennsylvania,0.4,5.2,1.6,0.1,0.9,92.5
Juniata County,Pennsylvania,0.3,0.6,2.5,0.1,1.1,96.8
Oswego County,New York,0.6,0.8,2.1,0.4,0.5,96.3
Lawrence County,Pennsylvania,0.4,3.8,1,0.1,0.2,93.8
Luzerne County,Pennsylvania,1,3.4,6.7,0.2,3.3,90.7
Monroe County,Pennsylvania,2.1,13.2,13.1,0.3,4.3,77.2
Montgomery County,Pennsylvania,6.4,8.7,4.3,0.1,1.6,81.1
Philadelphia County,Pennsylvania,6.3,43.4,12.3,0.5,5.9,41
Pike County,Pennsylvania,1,5.8,9,0.3,2.1,88.6
Snyder County,Pennsylvania,0.5,1.1,1.7,0.1,0.5,96.9
Somerset County,Pennsylvania,0.3,2.4,1.1,0.1,0.6,96
Susquehanna County,Pennsylvania,0.3,0.4,1.3,0.1,0.3,98
Venango County,Pennsylvania,0.4,1,0.9,0.2,0.2,97.1
Westchester County,New York,5.4,14.6,21.8,0.4,8.3,68.1
Wayne County,Pennsylvania,0.5,3.1,3.4,0.2,0.9,94.2
York County,Pennsylvania,1.2,5.6,5.6,0.2,2.4,88.5
Kent County,Rhode Island,2,1.4,3.2,0.3,1,93.4
Newport County,Rhode Island,1.6,3.5,4.2,0.4,1.4,90.2
Abbeville County,South Carolina,0.3,28.3,1,0.2,0.4,69.6
Aiken County,South Carolina,0.8,24.6,4.9,0.4,2.6,69.6
Barnwell County,South Carolina,0.6,44.3,1.8,0.4,0.7,52.6
Lancaster County,Pennsylvania,1.9,3.7,8.6,0.2,3.6,88.6
Chester County,South Carolina,0.3,37.4,1.4,0.4,0.6,59.8
Chesterfield County,South Carolina,0.4,32.6,3.6,0.5,2,62.8
Colleton County,South Carolina,0.3,39,2.8,0.8,1.3,57
