County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Tift County,Georgia,1.3,29,10.1,0.2,6.5,61.4
Troup County,Georgia,1.6,33.4,3.2,0.3,1.7,61.5
Upson County,Georgia,0.5,28,2.2,0.3,1.2,68.8
Washington County,Georgia,0.5,52.7,1.9,0.1,0.7,45
Clay County,Kansas,0.3,0.4,1.9,0.4,0.3,97.3
Cloud County,Kansas,0.2,0.5,3,0.3,1.1,96.4
Decatur County,Kansas,0.2,0.6,1,0.4,0.4,97.4
Elk County,Kansas,0.4,0,2.7,1.5,0.7,95.1
Graham County,Kansas,0.3,3.8,2.3,0.7,0.5,91.8
Hamilton County,Kansas,0.3,0.3,30.7,1.2,17.4,79.3
Jackson County,Kansas,0.4,0.5,3.3,8,0.7,87.2
Kingman County,Kansas,0.5,0.2,2.5,0.6,0.6,96.9
Lincoln County,Kansas,0.2,0.3,2.2,0.5,0.7,97.4
Marion County,Kansas,0.2,0.8,2.3,0.6,0.7,96
Morris County,Kansas,0.2,0.4,3.6,0.5,1.2,96
Ness County,Kansas,0.1,0.6,7.4,0.3,2.5,95.6
Pawnee County,Kansas,0.5,4.7,6.6,0.6,1.5,90.7
Reno County,Kansas,0.5,3,8.1,0.7,2.5,90.6
Rooks County,Kansas,0.4,0.5,2.1,0.3,0.4,97.5
Sedgwick County,Kansas,4.1,9.3,13,1.2,5.1,76.3
Stafford County,Kansas,0.4,0.3,11.9,1.2,4.2,92.6
Trego County,Kansas,0.2,0.4,1.7,0.2,1,97.3
Wichita County,Kansas,0.1,0.9,24.6,0.5,8.5,88.3
Wilson County,Kansas,0.4,0.3,2.3,1.1,0.4,95.6
Adair County,Kentucky,0.2,2.7,1.7,0.2,0.9,94.9
Allen County,Kentucky,0.2,0.8,1.5,0.3,0.4,97
Bell County,Kentucky,0.3,2.2,0.7,0.2,0.2,95.6
Breathitt County,Kentucky,0.5,0.3,0.6,0.1,0.2,98.3
Butler County,Kentucky,0.2,0.4,2.5,0.3,1.3,97
Carter County,Kentucky,0.2,0.5,1.2,0.2,0.4,97.8
Edmonson County,Kentucky,0.2,1.4,0.8,0.3,0.3,96.9
Estill County,Kentucky,0.1,0.2,0.7,0.2,0.2,98.5
Gallatin County,Kentucky,0.2,1.3,4.3,0.1,1.6,94.7
Grant County,Kentucky,0.3,0.7,2.3,0.2,1,96.7
Hart County,Kentucky,0.2,4.9,1.4,0.2,0.6,92.9
Hopkins County,Kentucky,0.6,6.6,1.6,0.1,0.6,90.1
Kenton County,Kentucky,0.9,4.6,2.6,0.2,1.2,91
Lee County,Kentucky,0.1,2.3,0.7,0.3,0.1,96.4
Logan County,Kentucky,0.2,6.6,2.4,0.2,1.2,90.1
Madison County,Kentucky,0.9,4.4,2.2,0.3,0.8,91.6
Metcalfe County,Kentucky,0.1,1.5,1.1,0.1,0.5,96.8
Montgomery County,Kentucky,0.3,2.8,2.5,0.2,1.1,94.5
Nelson County,Kentucky,0.5,5,2,0.1,0.8,91.9
Ohio County,Kentucky,0.2,0.8,3.5,0.2,1.5,96.2
Owen County,Kentucky,0.2,0.8,2.3,0.2,1.2,96.6
Powell County,Kentucky,0.1,0.6,1,0.1,0.5,97.7
Rockcastle County,Kentucky,0.1,0.1,0.6,0.3,0.2,98.4
Trigg County,Kentucky,0.3,8.2,1.2,0.3,0.4,89.1
Webster County,Kentucky,0.3,4.1,4.3,0.2,2.3,91.4
Allen Parish,Louisiana,0.7,23.2,1.3,2.4,0.5,71.6
Bienville Parish,Louisiana,0.2,42.3,1.4,0.3,0.6,55.3
Claiborne Parish,Louisiana,0.2,50.8,1,0.4,0.3,47.5
Iberville Parish,Louisiana,0.3,49.3,2,0.2,0.6,48.8
Lafayette Parish,Louisiana,1.5,25.8,3.9,0.3,1.4,69.4
